# f h(f)
0.000000000000000000e+00 inf
8.333333333333332871e-02 inf
1.666666666666666574e-01 inf
2.500000000000000000e-01 inf
3.333333333333333148e-01 inf
4.166666666666666297e-01 inf
5.000000000000000000e-01 inf
5.833333333333332593e-01 inf
6.666666666666666297e-01 inf
7.500000000000000000e-01 inf
8.333333333333332593e-01 inf
9.166666666666666297e-01 inf
1.000000000000000000e+00 inf
1.083333333333333259e+00 inf
1.166666666666666519e+00 inf
1.250000000000000000e+00 inf
1.333333333333333259e+00 inf
1.416666666666666519e+00 inf
1.500000000000000000e+00 inf
1.583333333333333259e+00 inf
1.666666666666666519e+00 inf
1.750000000000000000e+00 inf
1.833333333333333259e+00 inf
1.916666666666666519e+00 inf
2.000000000000000000e+00 inf
2.083333333333333037e+00 inf
2.166666666666666519e+00 inf
2.250000000000000000e+00 inf
2.333333333333333037e+00 inf
2.416666666666666519e+00 inf
2.500000000000000000e+00 inf
2.583333333333333037e+00 inf
2.666666666666666519e+00 inf
2.750000000000000000e+00 inf
2.833333333333333037e+00 inf
2.916666666666666519e+00 inf
3.000000000000000000e+00 inf
3.083333333333333037e+00 inf
3.166666666666666519e+00 inf
3.250000000000000000e+00 inf
3.333333333333333037e+00 inf
3.416666666666666519e+00 inf
3.500000000000000000e+00 inf
3.583333333333333037e+00 inf
3.666666666666666519e+00 inf
3.750000000000000000e+00 inf
3.833333333333333037e+00 inf
3.916666666666666519e+00 inf
4.000000000000000000e+00 inf
4.083333333333333037e+00 inf
4.166666666666666075e+00 inf
4.250000000000000000e+00 inf
4.333333333333333037e+00 inf
4.416666666666666075e+00 inf
4.500000000000000000e+00 inf
4.583333333333333037e+00 inf
4.666666666666666075e+00 inf
4.750000000000000000e+00 inf
4.833333333333333037e+00 inf
4.916666666666666075e+00 inf
5.000000000000000000e+00 inf
5.083333333333333037e+00 inf
5.166666666666666075e+00 inf
5.250000000000000000e+00 inf
5.333333333333333037e+00 inf
5.416666666666666075e+00 inf
5.500000000000000000e+00 inf
5.583333333333333037e+00 inf
5.666666666666666075e+00 inf
5.750000000000000000e+00 inf
5.833333333333333037e+00 inf
5.916666666666666075e+00 inf
6.000000000000000000e+00 inf
6.083333333333333037e+00 inf
6.166666666666666075e+00 inf
6.250000000000000000e+00 inf
6.333333333333333037e+00 inf
6.416666666666666075e+00 inf
6.500000000000000000e+00 inf
6.583333333333333037e+00 inf
6.666666666666666075e+00 inf
6.750000000000000000e+00 inf
6.833333333333333037e+00 inf
6.916666666666666075e+00 inf
7.000000000000000000e+00 inf
7.083333333333333037e+00 inf
7.166666666666666075e+00 inf
7.250000000000000000e+00 inf
7.333333333333333037e+00 inf
7.416666666666666075e+00 inf
7.500000000000000000e+00 inf
7.583333333333333037e+00 inf
7.666666666666666075e+00 inf
7.750000000000000000e+00 inf
7.833333333333333037e+00 inf
7.916666666666666075e+00 inf
8.000000000000000000e+00 inf
8.083333333333332149e+00 inf
8.166666666666666075e+00 inf
8.250000000000000000e+00 inf
8.333333333333332149e+00 inf
8.416666666666666075e+00 inf
8.500000000000000000e+00 inf
8.583333333333332149e+00 inf
8.666666666666666075e+00 inf
8.750000000000000000e+00 inf
8.833333333333332149e+00 inf
8.916666666666666075e+00 inf
9.000000000000000000e+00 1.737072278288960425e-21
9.083333333333332149e+00 1.334638763551722855e-20
9.166666666666666075e+00 2.371268909543239716e-21
9.250000000000000000e+00 1.033932501072188311e-21
9.333333333333332149e+00 6.523201598261436160e-22
9.416666666666666075e+00 4.738187732309044161e-22
9.500000000000000000e+00 3.709543697024588713e-22
9.583333333333332149e+00 3.046218020337307802e-22
9.666666666666666075e+00 2.586614555071568199e-22
9.750000000000000000e+00 2.251708776468242786e-22
9.833333333333332149e+00 1.998443103073902805e-22
9.916666666666666075e+00 1.802060948817145461e-22
1.000000000000000000e+01 1.644977359419655493e-22
1.008333333333333215e+01 1.516827830679526744e-22
1.016666666666666607e+01 1.411093811754509292e-22
1.025000000000000000e+01 1.321903209494095999e-22
1.033333333333333215e+01 1.245855313780850347e-22
1.041666666666666607e+01 1.180230554110525395e-22
1.050000000000000000e+01 1.122863286764101111e-22
1.058333333333333215e+01 1.072329397824755844e-22
1.066666666666666607e+01 1.027304542136260489e-22
1.075000000000000000e+01 9.869008061245547118e-23
1.083333333333333215e+01 9.503777129120627114e-23
1.091666666666666607e+01 9.170656401819618782e-23
1.100000000000000000e+01 8.866114548198972177e-23
1.108333333333333215e+01 8.585218172166193202e-23
1.116666666666666607e+01 8.324872449314950273e-23
1.125000000000000000e+01 8.083028729953229317e-23
1.133333333333333215e+01 7.857092128973817137e-23
1.141666666666666607e+01 7.645180360044454805e-23
1.150000000000000000e+01 7.445809197066424297e-23
1.158333333333333215e+01 7.257808705927269832e-23
1.166666666666666607e+01 7.080097772207132345e-23
1.175000000000000000e+01 6.911572981808728220e-23
1.183333333333333215e+01 6.751426114836922251e-23
1.191666666666666607e+01 6.598953297999994773e-23
1.200000000000000000e+01 6.453534520129991794e-23
1.208333333333333215e+01 6.314621612671051178e-23
1.216666666666666607e+01 6.181730606904010164e-23
1.225000000000000000e+01 6.054424456317055360e-23
1.233333333333333215e+01 5.932317564458979274e-23
1.241666666666666607e+01 5.815058500265668659e-23
1.250000000000000000e+01 5.702329815389831695e-23
1.258333333333333215e+01 5.593845001431454075e-23
1.266666666666666607e+01 5.489342969169765678e-23
1.275000000000000000e+01 5.388583831024480083e-23
1.283333333333333215e+01 5.291348657390833170e-23
1.291666666666666607e+01 5.197436009763553446e-23
